trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.1820521315994,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-226.35144093107715,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-93.1746905519027,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-102.25153478577325,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-57.51208308284583,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-175.1149675552533,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,3,-92.80996658864105,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-104.45808061038124,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-109.92262900939052,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-87.3275650165446,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-120.60987929981879,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-15.641266327645205,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-52.768388823281505,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-37.62030735860931,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-32.10779304957495,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-110.00752516330111,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-19.540990931427274,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,12.631679753116247,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,16.99523639255013,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,13.96564315802264,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,2.945237023354055,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-5.832623228125678,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,7,-5.199730628675233,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-16.422166032379348,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,40.768057963386376,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,33.41696357982831,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,8,-28.117344383958933,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,8,-12.735811299609693,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,11,16.25102610146879,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,19.946296252495166,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
