trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-155.95035971208358,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",35,14,-99.59693744203796,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 1}",1
3,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-123.2415200593856,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-81.25779668933716,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-193.65207686619422,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.7788007830714049}",25,0,-87.36606062339698,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,0,-127.59625473652507,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-65.23068058604446,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.6703200460356393}",30,0,-186.41443139519671,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.6376281516217733}",25,2,-85.54477308944892,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,0,-96.13218810139088,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-165.163299874763,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.5488116360940264}",25,0,-85.34561702645034,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.522045776761016}",25,0,-94.11909953974751,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.49658530379140947}",20,10,-27.792387548112277,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.4723665527410147}",25,10,8.620712975214605,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.44932896411722156}",30,0,-68.16613426531156,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.42741493194872665}",20,0,15.09873525376525,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
