trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.1268119798926,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.639065791916835,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-53.59300976276382,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.333203984306,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.78864497443608,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,9,-52.11374120771096,"{0: 4, 1: 2, 2: 5, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.01720188851282,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.27533986739815,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.54499747688115,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.39617434213554,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.09195145477926,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.02474275717147,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.62079932352256,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.65257468235868,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.5612220863159,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.9051242474481,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.38289457591185,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.03807242299749,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,8,-59.44671722574941,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-256.87247479388134,"{0: 9, 1: 5, 2: 6, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.06273314382656,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.99495093919218,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.07312466491292,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-177.94185424419283,"{0: 19, 1: 3, 2: 10, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.31006515989817,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-31.074411582801336,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-262.8241873694347,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.40440141365401,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.52990306974925,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.0516279197343,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
